date,open,high,low,close,volume
2021-05-31,603444,502.47,508.0,467.0,465.0
2021-06-01,603444,504.2,514.88,503.0,492.0
2021-06-02,603444,524.39,544.0,518.0,518.0
2021-06-03,603444,544.2,553.84,531.06,531.06
2021-06-04,603444,579.11,579.5,546.81,546.01
2021-06-07,603444,577.55,601.0,600.0,562.0
2021-06-08,603444,558.14,565.96,565.96,543.01
2021-06-09,603444,552.01,566.87,563.87,538.2
2021-06-10,603444,561.5,569.79,558.53,554.03
2021-06-11,603444,548.0,564.0,560.0,544.02
2021-06-15,603444,574.0,575.99,552.0,545.0
2021-06-16,603444,537.46,578.98,578.09,535.35
2021-06-17,603444,547.6,548.6,535.3,532.7
2021-06-18,603444,537.0,555.48,544.17,534.01
2021-06-21,603444,550.99,560.0,534.1,534.1
2021-06-22,603444,545.0,550.99,550.94,535.5
2021-06-23,603444,537.01,547.0,542.09,535.55
2021-06-24,603444,534.0,543.94,543.18,524.01
2021-06-25,603444,540.0,545.35,535.0,529.5
2021-06-28,603444,532.0,552.72,548.0,529.01
2021-06-29,603444,538.91,548.0,532.5,530.0
2021-06-30,603444,530.0,533.93,533.93,510.52
2021-07-01,603444,524.0,534.88,527.73,523.33
2021-07-02,603444,517.77,532.81,522.8,516.8
2021-07-05,603444,509.99,520.69,520.0,505.55
2021-07-06,603444,504.51,516.5,511.31,497.33
2021-07-07,603444,524.13,527.56,510.04,501.29
2021-07-08,603444,513.99,530.58,525.4,505.75
2021-07-09,603444,518.88,523.96,516.03,508.04
2021-07-12,603444,533.0,537.0,515.0,502.05
2021-07-13,603444,526.45,537.0,530.72,522.21
2021-07-14,603444,531.0,535.0,523.01,517.0
2021-07-15,603444,481.2,522.43,520.0,477.9
2021-07-16,603444,520.49,524.9,489.0,484.0
2021-07-19,603444,516.0,528.0,516.99,512.4
2021-07-20,603444,510.89,522.79,515.98,490.01
2021-07-21,603444,520.9,521.88,518.14,511.0
2021-07-22,603444,510.98,520.9,520.9,506.01
2021-07-23,603444,487.61,510.99,508.75,481.6
2021-07-26,603444,444.79,476.74,475.97,440.0
2021-07-27,603444,436.62,462.66,444.89,434.11
2021-07-28,603444,430.14,443.0,443.0,421.5
2021-07-29,603444,442.56,444.79,439.97,436.0
2021-07-30,603444,440.72,446.22,440.5,434.71
2021-08-02,603444,441.8,445.79,437.06,424.03
2021-08-03,603444,425.38,441.94,440.58,398.0
2021-08-04,603444,435.25,438.2,418.74,415.86
2021-08-05,603444,424.18,431.77,420.86,415.45
2021-08-06,603444,411.91,429.31,425.0,408.18
2021-08-09,603444,432.57,434.9,406.71,403.83
2021-08-10,603444,428.67,435.0,432.15,411.9
2021-08-11,603444,423.64,435.99,427.99,420.1
2021-08-12,603444,424.99,432.98,423.88,420.02
2021-08-13,603444,425.54,438.38,431.0,418.01
2021-08-16,603444,418.0,460.48,427.84,416.18
2021-08-17,603444,409.0,423.49,423.49,407.0
2021-08-18,603444,413.45,414.4,407.95,402.6
2021-08-19,603444,417.8,420.01,413.27,410.88
2021-08-20,603444,407.22,410.91,409.03,391.6
2021-08-23,603444,416.34,417.56,409.99,406.21
2021-08-24,603444,412.0,419.48,414.83,408.32
2021-08-25,603444,406.99,419.88,414.91,405.03
2021-08-26,603444,403.8,408.99,404.99,398.3
2021-08-27,603444,400.0,406.94,404.43,395.99
2021-08-30,603444,407.34,411.31,397.77,392.2
2021-08-31,603444,366.61,396.0,395.0,366.61
2021-09-01,603444,403.27,403.27,370.0,368.22
2021-09-02,603444,404.32,417.0,407.27,402.45
2021-09-03,603444,391.45,409.85,409.85,390.19
2021-09-06,603444,397.0,400.5,393.63,380.8
2021-09-07,603444,418.73,421.65,398.63,395.0
2021-09-08,603444,435.08,439.0,420.94,412.57
2021-09-09,603444,404.42,419.99,419.99,399.02
2021-09-10,603444,409.15,412.67,400.01,394.99
2021-09-13,603444,404.1,415.5,408.88,399.23
2021-09-14,603444,405.25,418.0,407.43,403.52
2021-09-15,603444,406.16,406.6,403.58,391.0
2021-09-16,603444,400.03,408.89,406.0,393.1
2021-09-17,603444,392.48,399.8,397.84,390.73
2021-09-22,603444,386.33,394.01,388.66,381.34
2021-09-23,603444,388.6,398.76,386.33,385.0
2021-09-24,603444,396.8,401.88,393.26,387.0
2021-09-27,603444,423.97,425.14,395.8,392.35
2021-09-28,603444,381.58,419.77,415.45,381.57
2021-09-29,603444,370.31,382.58,374.99,369.01
2021-09-30,603444,391.28,391.68,370.63,370.63
2021-10-08,603444,393.14,399.5,397.94,385.02
2021-10-11,603444,402.88,408.99,393.14,386.76
2021-10-12,603444,388.0,399.83,394.0,383.5
2021-10-13,603444,390.9,392.36,388.8,380.01
2021-10-14,603444,389.88,391.98,391.02,382.65
2021-10-15,603444,364.27,378.0,378.0,351.0
2021-10-18,603444,344.0,363.0,363.0,338.31
2021-10-19,603444,341.5,345.67,343.0,333.82
2021-10-20,603444,342.11,345.87,342.99,338.11
2021-10-21,603444,338.55,343.88,342.4,337.01
2021-10-22,603444,346.0,355.5,343.0,340.78
2021-10-25,603444,342.33,349.0,346.49,338.0
2021-10-26,603444,341.13,346.0,342.84,338.38
2021-10-27,603444,336.01,343.0,343.0,335.44
2021-10-28,603444,338.62,347.0,338.41,336.86
2021-10-29,603444,342.44,345.8,340.39,334.0
2021-11-01,603444,354.26,358.49,341.9,341.8
2021-11-02,603444,347.1,356.95,354.0,346.13
2021-11-03,603444,350.22,355.67,345.61,345.61
2021-11-04,603444,355.55,358.5,351.42,351.42
2021-11-05,603444,361.6,372.5,354.98,353.68
2021-11-08,603444,359.01,371.06,365.47,358.0
2021-11-09,603444,361.29,368.5,355.91,355.91
2021-11-10,603444,366.32,370.5,361.0,359.88
2021-11-11,603444,367.0,368.6,363.0,355.58
2021-11-12,603444,369.9,374.65,367.0,363.24
2021-11-15,603444,387.59,395.76,372.87,372.75
2021-11-16,603444,387.15,405.0,387.59,380.1
2021-11-17,603444,400.37,408.8,384.55,383.0
2021-11-18,603444,385.41,403.26,400.01,383.5
2021-11-19,603444,392.03,393.6,384.42,381.58
2021-11-22,603444,393.49,397.95,390.51,386.0
2021-11-23,603444,384.45,390.9,390.9,383.0
2021-11-24,603444,385.89,388.38,384.55,380.51
2021-11-25,603444,380.0,387.89,385.0,377.56
2021-11-26,603444,376.28,382.99,379.0,374.4
2021-11-29,603444,372.56,376.28,371.0,368.86
2021-11-30,603444,375.86,380.01,372.5,371.0
2021-12-01,603444,372.77,375.99,375.9,370.0
2021-12-02,603444,357.58,374.3,371.01,353.6
2021-12-03,603444,358.0,361.79,359.88,352.1
2021-12-06,603444,354.0,359.95,357.98,354.0
2021-12-07,603444,354.02,356.88,355.52,349.6
2021-12-08,603444,361.54,361.88,355.8,350.5
2021-12-09,603444,370.18,371.57,363.0,360.04
2021-12-10,603444,375.98,377.58,366.0,365.22
2021-12-13,603444,386.32,389.79,377.0,377.0
2021-12-14,603444,387.36,393.61,386.32,383.08
2021-12-15,603444,383.0,390.6,384.36,381.2
2021-12-16,603444,384.05,387.0,383.3,378.88
2021-12-17,603444,374.95,385.46,381.01,374.95
2021-12-20,603444,369.64,381.91,375.96,369.11
2021-12-21,603444,370.5,376.65,368.78,368.01
2021-12-22,603444,400.74,406.2,370.0,369.61
2021-12-23,603444,395.5,404.88,397.0,392.27
2021-12-24,603444,408.99,413.98,395.63,393.01
2021-12-27,603444,399.99,408.7,408.7,397.23
2021-12-28,603444,393.78,400.89,399.21,392.5
2021-12-29,603444,385.0,396.0,394.8,383.13
2021-12-30,603444,413.0,414.24,384.0,384.0
2021-12-31,603444,421.85,428.24,410.1,406.0
2022-01-04,603444,432.0,433.9,422.3,421.01
2022-01-05,603444,430.83,448.55,428.11,425.0
2022-01-06,603444,423.5,431.79,427.48,417.0
2022-01-07,603444,419.67,433.87,427.6,418.5
2022-01-10,603444,410.41,419.73,418.0,407.54
2022-01-11,603444,395.0,418.6,409.01,393.94
2022-01-12,603444,402.99,404.74,396.69,394.76
2022-01-13,603444,381.0,406.0,402.99,380.0
2022-01-14,603444,395.77,397.0,381.0,375.0
2022-01-17,603444,389.0,404.99,396.98,385.0
2022-01-18,603444,382.02,392.8,389.0,380.8
2022-01-19,603444,398.13,405.88,388.0,386.0
2022-01-20,603444,384.79,398.0,398.0,383.5
2022-01-21,603444,371.59,390.32,385.0,370.0
2022-01-24,603444,374.98,375.98,367.05,366.66
2022-01-25,603444,356.5,375.0,375.0,356.09
2022-01-26,603444,361.5,363.95,356.58,355.14
2022-01-27,603444,343.55,363.49,363.49,342.0
2022-01-28,603444,351.58,359.74,346.55,342.5
2022-02-07,603444,350.47,358.0,356.0,344.0
2022-02-08,603444,354.01,354.8,350.0,343.11
2022-02-09,603444,362.41,362.41,354.9,350.67
2022-02-10,603444,370.0,372.83,362.0,356.77
2022-02-11,603444,365.49,373.5,367.0,364.53
2022-02-14,603444,354.99,364.04,364.04,352.0
2022-02-15,603444,358.15,362.83,354.99,353.0
2022-02-16,603444,362.31,362.79,360.9,357.02
2022-02-17,603444,367.99,374.86,360.01,359.11
2022-02-18,603444,372.28,373.9,365.8,363.08
2022-02-21,603444,367.47,375.99,371.01,364.04
2022-02-22,603444,348.81,364.06,364.06,342.7
2022-02-23,603444,354.05,359.2,348.88,348.82
2022-02-24,603444,344.99,355.8,354.2,338.88
2022-02-25,603444,351.79,354.9,348.07,346.2
2022-02-28,603444,349.76,353.19,351.7,345.0
2022-03-01,603444,349.63,352.96,350.16,346.66
2022-03-02,603444,346.24,348.8,345.83,342.33
2022-03-03,603444,347.13,347.65,346.94,344.5
2022-03-04,603444,348.99,352.5,345.0,344.1
2022-03-07,603444,344.0,347.84,347.1,338.5
2022-03-08,603444,325.55,346.59,341.88,325.01
2022-03-09,603444,325.84,327.96,325.96,298.08
